,0
0,1046848.1347947794
1,1046881.7986968794
2,1047289.8436033179
3,1046191.8824935425
4,1046487.4925992469
5,1045779.204539688
6,1047610.1390796028
7,1047934.6086491904
8,1048585.7289013637
9,1046832.050404167
10,1046651.8198726084
11,1046529.8003893142
12,1047186.7951417884
13,1046547.0410101707
14,1046854.116853319
15,1049536.4014701482
16,1050098.1929628686
17,1050339.7738951358
18,1051292.643923827
19,1051928.9897049146
20,1052087.4147351577
21,1052398.7985230437
22,1053828.8057896001
23,1055421.930255805
24,1056116.2036382984
25,1056479.1242579096
26,1053994.2818256454
27,1055137.5003359593
28,1057157.9337755945
29,1057131.2064788737
30,1055560.6114782195
31,1054279.6000206007
32,1054374.2267972564
33,1054946.5511249548
34,1054851.6822928688
35,1054619.958593292
36,1053318.1391472563
37,1052781.9845706197
38,1050985.0630924802
39,1047247.69437048
40,1047350.8896202993
41,1047271.0465338266
42,1049956.2623118768
43,1047443.1247521853
44,1048790.8704924502
45,1053842.9963384287
46,1052035.0950670738
47,1052974.7226960768
48,1052893.1798772428
49,1056367.6066655044
50,1056491.9461353854
51,1057394.4904896263
52,1055285.1234269987
53,1059333.0593340117
54,1059303.4266945757
55,1059147.5742221898
56,1062080.2557513365
57,1061880.3738730703
58,1061912.7806761265
59,1059304.038086605
60,1059912.5436892714
61,1059376.4374626551
62,1058342.4939528941
