,0
0,1072985.305979841
1,1073362.745190816
2,1064534.6554170814
3,1051026.7055756666
4,1053595.562220292
5,1067848.3416512606
6,1064119.8935476695
7,1051504.4423225555
8,1051166.7198793432
9,1052745.6765510058
10,1046458.6547907469
11,1043733.399290515
12,1039533.3440273171
13,1038978.4993509379
14,1041986.4029263983
15,1034372.9797438317
16,1035601.3489595004
17,1035663.8053377015
18,1037100.8387381289
19,1042744.961909819
20,1045526.148398031
21,1048435.2706965255
22,1048418.5897598827
23,1049620.2913248204
24,1051218.968763296
25,1055054.9464975074
26,1055366.6586820516
27,1052943.0609524646
28,1048677.475446124
29,1048574.5900571859
30,1045201.5420300852
31,1042407.3314706788
32,1044111.4994631577
33,1038084.336061235
34,1036643.611206242
35,1040056.988083112
36,1036046.1271014502
37,1035854.9586027899
38,1037104.95492717
39,1036967.3573424721
40,1037037.5922471165
41,1036294.9772068629
42,1036848.9436485826
43,1032387.3071208987
44,1032768.4251112457
45,1033321.9428638525
46,1035720.4694648696
47,1034199.7545391314
48,1034639.7061560139
49,1034621.1830590367
50,1033154.266464203
51,1032903.2856489588
52,1033937.3680029694
53,1032875.1759154608
54,1031174.0096585929
55,1031398.866350664
56,1031086.1667076668
57,1031790.4177588316
58,1031505.8136849055
59,1031015.7947917446
60,1031788.8549899277
61,1031376.1255211734
62,1031479.7381424009
