,0
0,1000000.0
1,1030659.6116119426
2,1031527.1961720857
3,1031393.4109546398
4,1031882.477204563
5,1031268.2408918306
6,1031300.7940631567
7,1031021.3630545398
8,1030610.6516339704
9,1030064.4876403306
10,1029957.3907330282
11,1029660.0706782371
12,1029871.8774869398
13,1029730.6245852181
14,1029590.0237749091
15,1029552.5427539475
16,1029383.1343243592
17,1029344.052654578
18,1029225.2573788095
19,1028737.6486209998
20,1028952.7397477714
21,1029141.7177932715
22,1029458.4550229621
23,1029520.0112864323
24,1029605.7934344757
25,1029588.4697879112
26,1029728.3001629781
27,1029615.2335594118
28,1029751.3570396452
29,1029735.9475872325
30,1029810.2302056378
31,1029706.0677315285
32,1029750.0187957208
33,1030308.9882109582
34,1030417.799177943
35,1030490.0359797985
36,1031007.5366291413
37,1031228.7434978088
38,1030841.818095332
39,1030973.7310556305
40,1031090.4009201418
41,1031022.4105976624
42,1030938.324619038
43,1031275.7129400129
44,1031570.0569394237
45,1031503.828962396
46,1031601.156693682
47,1031732.1377652552
48,1031847.1465974749
49,1031330.6729873505
50,1031604.3466648265
51,1031537.8130049435
52,1031890.4206201055
53,1031963.0909253795
54,1031693.4490894673
55,1031941.6787889001
56,1032022.3878184931
57,1033743.8436202193
58,1033532.9043238469
59,1033488.3083639435
60,1043457.3609446553
61,1044123.2286797339
62,1043965.1326352471
63,1044190.041364566
64,1043736.936124277
65,1043277.0781004553
66,1043509.5807617276
67,1043727.7482016515
68,1043468.1902666988
69,1043976.2582892309
70,1043871.8001080324
71,1043486.7899046292
72,1042233.9810189826
73,1042960.9480865167
74,1042648.48725246
75,1042388.4740597405
76,1042348.2599741275
77,1042455.887668267
78,1043014.5831707881
79,1042935.7102827982
80,1043423.0349974815
81,1043886.1842143341
82,1043981.201314221
83,1043976.0977285035
84,1044095.7286474148
85,1043840.3808753422
86,1043578.2474829083
87,1042765.9134830644
88,1042699.2047237693
89,1043330.6507363123
90,1042829.3985851336
91,1042519.4329166714
92,1042329.0239209334
93,1042555.9206614533
94,1042160.8440962764
95,1042247.9607309258
96,1041570.3045788512
97,1041775.807115729
98,1042178.0718900056
99,1041408.1602369774
100,1041526.2450040212
101,1041381.6868088719
102,1041612.1589786075
103,1041877.3546049556
104,1041925.4078805677
105,1042044.7963395009
106,1041732.4063625827
107,1042335.2770563838
108,1042414.1762715508
109,1043459.5590726716
110,1043356.7291048802
111,1042757.9633307749
112,1041640.0830222325
113,1041694.9372473676
114,1040706.9207728701
115,1039659.36134653
116,1040114.8959445768
117,1037763.7328804206
118,1037464.8666650956
119,1039052.3800426067
120,1037823.2616134093
121,1037740.694502119
122,1038105.6277315215
123,1038228.78787534
124,1038217.3755327492
125,1037676.2510753737
126,1037976.5766580966
127,1036603.8297726731
128,1036734.3761175694
129,1036028.0463529774
130,1036951.3941912083
131,1036320.9048805498
132,1037432.7734551356
133,1037108.924698982
134,1036346.4565694882
135,1036248.7147687876
136,1036960.0559756614
137,1036089.5006405695
138,1034865.3024644199
139,1036143.4541548482
140,1036240.5548458457
141,1036385.4480555579
142,1036145.3773488663
143,1035689.7898013773
144,1036548.5866354251
145,1036482.7681665896
146,1036145.2717474721
147,1035994.8836782444
148,1037332.4816998476
149,1036628.6738514272
150,1036768.0703578646
151,1035950.7408437416
152,1036260.303646623
153,1036646.6254334726
154,1037274.4524960102
155,1037246.818435398
156,1035758.8140865242
157,1036102.9520958972
158,1036616.318449039
159,1036733.662702448
160,1036980.78902775
161,1036570.8753934286
162,1036268.2151812038
163,1035959.0447097998
164,1036748.5290977862
165,1036422.4306952764
166,1037169.1392881713
167,1035570.3810108581
168,1035632.8299258626
169,1035753.500689262
170,1036067.9574455436
171,1035663.3150717925
172,1035731.0631853124
173,1036322.5610243765
174,1035187.2487403253
175,1034924.9674725079
176,1035117.951808069
177,1035336.0221038591
178,1035599.5100573258
179,1035558.969236566
180,1035278.4695260468
181,1036912.4677445117
182,1037810.3307185237
183,1038933.7942697502
184,1040458.8341962574
185,1045516.6442295721
186,1051585.5976989719
187,1046449.743842917
188,1047431.6926838247
189,1043147.5953747067
190,1043214.4302659616
191,1041179.5254892069
192,1041522.5084335216
193,1042505.5047786104
194,1045678.149830838
195,1046732.5104990916
196,1047684.958539308
197,1046566.2275268853
198,1045561.2954892975
199,1045613.1735418647
200,1046961.7692196042
201,1045564.112903417
202,1044966.0672738525
203,1044450.2420007602
204,1043548.5847097744
205,1044386.7834243125
206,1045952.8579776844
207,1045808.348570188
208,1046958.8362504118
209,1047290.119809945
210,1048602.6109873885
211,1048403.8042277282
212,1050018.1110920398
213,1047944.1404848875
214,1048070.1785792618
215,1045290.0125732796
216,1046871.0856519284
217,1047431.6399643633
218,1047860.2656525153
219,1046246.6767012819
220,1045799.947626337
221,1045725.4724261919
222,1046202.5307156459
223,1045700.9225841346
224,1046185.1327388638
225,1048098.0411800101
226,1048252.364527483
227,1048290.8181075164
228,1049261.4041323087
229,1049812.3775052894
230,1050593.2532669285
231,1050777.2580313284
232,1053530.682297838
233,1055368.621768668
234,1057560.455536319
235,1056962.6352184054
236,1055670.217179741
237,1057662.950463151
238,1064400.3477845495
239,1064847.147590225
240,1065579.4795260804
241,1063169.8714609547
242,1062531.036950416
243,1063413.9081883705
244,1062549.7598541288
245,1062403.8692355442
246,1061105.2432309864
247,1060341.4980275158
248,1058782.202469342
249,1056321.7040895917
250,1056440.44329126
251,1056486.534751735
252,1058242.4492877172
253,1056506.7250483409
254,1057513.7183293523
255,1061571.842062219
256,1059908.5172164694
257,1060700.5753369238
258,1060528.8697003443
259,1063063.8926091949
260,1063559.0127952069
261,1064736.1975557343
262,1063138.6598139561
263,1066366.0994533275
264,1066228.8285533
265,1066728.6781378908
266,1068169.763806176
267,1068073.0797068214
268,1068050.7527118986
269,1066976.4383321404
270,1067224.3882298477
271,1067305.526878894
272,1066751.5574237162
273,1066987.410323264
274,1064164.6695429601
275,1064540.5469949404
276,1064681.7420307582
277,1069668.8126435587
278,1070531.8364747902
279,1069363.3269302652
280,1069831.857290868
281,1069213.342486825
282,1067949.937599833
283,1067906.4173699259
284,1067651.6266992872
285,1069481.2908713918
286,1069833.4212194735
287,1069504.2328479965
288,1069532.3566612205
289,1070500.4738267628
290,1071316.077236409
291,1071917.0783385637
292,1074521.2592828197
293,1075772.2060429854
294,1073973.6099848233
295,1071359.062739335
296,1069396.3574724912
297,1068552.0371289896
298,1068280.3300922725
299,1066279.1655440843
300,1066738.1355492056
301,1066055.6087668317
302,1066331.0741297142
303,1066988.8336234798
304,1066647.5400625938
305,1067213.1572242856
306,1066986.7139990188
307,1062531.4311092952
308,1062667.269993182
309,1063577.9892302167
310,1064684.2031072576
311,1065570.5056901327
312,1065469.0427610197
313,1065736.1413898405
314,1065110.7902041662
315,1065196.2815184367
316,1065008.4939620232
317,1065804.8011167261
318,1065469.628315378
319,1065555.909541023
320,1063208.1801869883
321,1063428.6578369073
322,1063698.4352909245
323,1063742.0858161212
324,1064288.537169805
325,1064677.7633279953
326,1064102.1698213608
327,1064421.229371429
328,1064115.2565483232
