,0
0,401.7177953789942
1,-6461.349890029291
2,-24214.726210118737
3,-1479.2226718997117
4,-6853.181333584711
5,805.7120384259615
6,8379.533755187644
7,-9400.487048567273
8,4545.729858454317
9,18026.888051721966
10,10865.979785864241
11,-274.0766272500623
12,6722.955908711534
13,-8229.542408952257
14,15268.740625817329
15,6055.918033247581
16,-8060.153811725322
17,5001.73974823812
18,428.8482461059466
19,7280.0005899358075
20,-12281.58532547066
21,7569.496457003523
22,-2795.7069598764647
23,19609.46349707921
24,16603.669425492175
25,-2237.1424352703616
26,-64.30126770958304
27,4413.280079973163
28,3010.823735569138
29,-2862.3535251845606
30,13598.831546481233
31,8538.197031205986
32,-4394.390058756573
33,8819.38206894882
34,-12268.21467100503
35,-4654.27332729497
36,4672.464884511661
37,9015.339728204533
38,18694.398135925177
39,-1362.3421456306241
40,7399.188526715618
41,4704.020652777748
42,5460.30608076253
43,-157.36055470933206
44,1343.5348067840096
45,5823.774174292572
46,2984.7744088056497
47,3798.6536614524666
48,-1352.9054439011961
49,-5716.643075500848
50,-6797.914747258648
51,-10289.906191899907
52,8491.854644505074
53,4670.823051250773
54,5644.931753947865
55,-9321.482375750551
56,1316.3551951183472
57,8221.527726438828
58,12029.49289748678
59,5986.421690924792
60,-1518.2752006053925
61,24574.341238993686
