,0
0,1000000.0
1,1161414.6331893648
2,1160208.4097157083
3,1161553.4523246204
4,1163140.25333124
5,1163843.6308976319
6,1163572.4537338533
7,1160677.1102148467
8,1160517.9255419387
9,1161304.2001214866
10,1166241.4388542813
11,1164067.7236259247
12,1166040.0794934232
13,1162820.0852713948
14,1165200.8371047785
15,1166114.6307776258
16,1165835.1592870639
17,1163108.1208993257
18,1162656.9763424178
19,1160156.3744318653
20,1160638.8011200288
21,1164343.346017504
22,1163591.5411534666
23,1159941.3931849492
24,1158569.6609694262
25,1154883.1461116422
26,1154068.634323503
27,1153375.1752063995
28,1156816.8062624307
29,1154716.207931628
30,1155288.2975243463
31,1152353.9879524622
32,1150870.5921883131
33,1151016.1881258963
34,1151711.251172162
35,1146257.4911723188
36,1151665.2905980167
37,1148911.853706135
38,1150819.2181318025
39,1152808.672065475
40,1149537.8084743044
41,1148685.9135794383
42,1144867.8149737094
43,1142507.7810216006
44,1139708.8867561135
45,1142670.9924308527
46,1143271.5732550132
47,1153202.595874593
48,1152567.7410093988
49,1152991.1881468738
50,1154196.521618519
51,1155101.5737454614
52,1157088.6811024433
53,1158914.088736591
54,1159281.332183897
55,1154114.6578748361
56,1149064.7401658408
57,1153425.328882886
58,1155690.7027471834
59,1152788.970281086
60,1151953.061369767
61,1161836.1288938166
62,1161991.1404204401
