tic,type,quantity,price,high,low,day
601336,sell,100,86.10019355822256,"0    90.157154
Name: High_601336, dtype: float64","0    86.343622
Name: Low_601336, dtype: float64","0   2025-08-19
Name: Date, dtype: datetime64[ns]"
000776,sell,60,20.191205369234083,"0    20.9
Name: High_000776, dtype: float64","0    20.52
Name: Low_000776, dtype: float64","0   2025-08-19
Name: Date, dtype: datetime64[ns]"
601877,sell,42,24.496884147252423,"0    24.67
Name: High_601877, dtype: float64","0    24.12
Name: Low_601877, dtype: float64","0   2025-08-19
Name: Date, dtype: datetime64[ns]"
601628,sell,6,41.89538605183363,"0    42.89
Name: High_601628, dtype: float64","0    41.46
Name: Low_601628, dtype: float64","0   2025-08-19
Name: Date, dtype: datetime64[ns]"
000338,buy,100,14.893799993433058,"0    15.11
Name: High_000338, dtype: float64","0    14.86
Name: Low_000338, dtype: float64","0   2025-08-19
Name: Date, dtype: datetime64[ns]"
002001,buy,100,22.572516179867087,"0    23.25
Name: High_002001, dtype: float64","0    22.74
Name: Low_002001, dtype: float64","0   2025-08-19
Name: Date, dtype: datetime64[ns]"
600795,buy,100,4.395024751941674,"0    4.74
Name: High_600795, dtype: float64","0    4.56
Name: Low_600795, dtype: float64","0   2025-08-19
Name: Date, dtype: datetime64[ns]"
002600,buy,100,11.092038128345738,"0    12.22
Name: High_002600, dtype: float64","0    11.26
Name: Low_002600, dtype: float64","0   2025-08-19
Name: Date, dtype: datetime64[ns]"
002905,buy,15,9.92856480554212,"0    9.99
Name: High_002905, dtype: float64","0    9.76
Name: Low_002905, dtype: float64","0   2025-08-19
Name: Date, dtype: datetime64[ns]"
002001,sell,100,23.34810814253986,"1    23.39
Name: High_002001, dtype: float64","1    22.71
Name: Low_002001, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
601628,sell,100,40.900836516749116,"1    42.03
Name: High_601628, dtype: float64","1    41.04
Name: Low_601628, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
000776,sell,77,20.186390418279917,"1    20.97
Name: High_000776, dtype: float64","1    20.41
Name: Low_000776, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
002905,sell,24,9.865796601343899,"1    9.92
Name: High_002905, dtype: float64","1    9.74
Name: Low_002905, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
600795,sell,21,4.649916750742123,"1    4.73
Name: High_600795, dtype: float64","1    4.64
Name: Low_600795, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
000338,sell,17,14.792802457232028,"1    15.06
Name: High_000338, dtype: float64","1    14.82
Name: Low_000338, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
601877,buy,100,24.16010678402614,"1    24.38
Name: High_601877, dtype: float64","1    24.0
Name: Low_601877, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
601336,buy,87,84.89098178286282,"1    88.736942
Name: High_601336, dtype: float64","1    85.962269
Name: Low_601336, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
002600,buy,81,12.160628403360025,"1    13.28
Name: High_002600, dtype: float64","1    11.99
Name: Low_002600, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
300628,buy,11,34.54665568224154,"1    35.08
Name: High_300628, dtype: float64","1    34.25
Name: Low_300628, dtype: float64","1   2025-08-20
Name: Date, dtype: datetime64[ns]"
000776,sell,100,20.609488052353264,"2    21.18
Name: High_000776, dtype: float64","2    20.67
Name: Low_000776, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
002600,sell,100,12.977884116210044,"2    13.13
Name: High_002600, dtype: float64","2    11.98
Name: Low_002600, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
600795,sell,93,4.652673422172666,"2    4.73
Name: High_600795, dtype: float64","2    4.67
Name: Low_600795, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
601336,sell,39,86.71502764897012,"2    89.381298
Name: High_601336, dtype: float64","2    87.658633
Name: Low_601336, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
601628,buy,100,41.2626388335973,"2    42.36
Name: High_601628, dtype: float64","2    41.68
Name: Low_601628, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
002905,buy,59,9.744396980041637,"2    9.95
Name: High_002905, dtype: float64","2    9.78
Name: Low_002905, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
002001,buy,58,23.42585724843666,"2    24.11
Name: High_002001, dtype: float64","2    23.33
Name: Low_002001, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
000338,buy,40,14.951712592989207,"2    15.25
Name: High_000338, dtype: float64","2    15.02
Name: Low_000338, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
300628,buy,37,35.010260950252416,"2    35.65
Name: High_300628, dtype: float64","2    34.86
Name: Low_300628, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
601877,buy,2,24.248130731703714,"2    24.4
Name: High_601877, dtype: float64","2    24.13
Name: Low_601877, dtype: float64","2   2025-08-21
Name: Date, dtype: datetime64[ns]"
300628,sell,48,34.911849257850555,"3    35.63
Name: High_300628, dtype: float64","3    34.91
Name: Low_300628, dtype: float64","3   2025-08-22
Name: Date, dtype: datetime64[ns]"
002001,sell,60,23.57431044277735,"3    24.16
Name: High_002001, dtype: float64","3    23.71
Name: Low_002001, dtype: float64","3   2025-08-22
Name: Date, dtype: datetime64[ns]"
601628,sell,51,41.15744989888742,"3    42.66
Name: High_601628, dtype: float64","3    41.61
Name: Low_601628, dtype: float64","3   2025-08-22
Name: Date, dtype: datetime64[ns]"
002905,sell,7,9.873811021191067,"3    9.99
Name: High_002905, dtype: float64","3    9.81
Name: Low_002905, dtype: float64","3   2025-08-22
Name: Date, dtype: datetime64[ns]"
600795,buy,100,4.68549335540738,"3    4.73
Name: High_600795, dtype: float64","3    4.66
Name: Low_600795, dtype: float64","3   2025-08-22
Name: Date, dtype: datetime64[ns]"
002600,buy,67,12.035371431596579,"3    12.36
Name: High_002600, dtype: float64","3    11.94
Name: Low_002600, dtype: float64","3   2025-08-22
Name: Date, dtype: datetime64[ns]"
000338,buy,56,15.079990980997682,"3    15.27
Name: High_000338, dtype: float64","3    15.07
Name: Low_000338, dtype: float64","3   2025-08-22
Name: Date, dtype: datetime64[ns]"
601336,buy,44,86.44691296549692,"3    89.223496
Name: High_601336, dtype: float64","3    87.606033
Name: Low_601336, dtype: float64","3   2025-08-22
Name: Date, dtype: datetime64[ns]"
601877,buy,38,24.182412112141026,"3    24.33
Name: High_601877, dtype: float64","3    24.1
Name: Low_601877, dtype: float64","3   2025-08-22
Name: Date, dtype: datetime64[ns]"
