,0
0,1158454.721986373
1,1153806.6110634266
2,1153182.5479254858
3,1154906.495618586
4,1153886.1701861224
5,1154736.7084690135
6,1151622.6363929636
7,1151060.7981746765
8,1149781.4433834513
9,1150341.7173777113
10,1149374.1266582762
11,1149554.7905600243
12,1147798.256624759
13,1146525.5621218283
14,1145895.5676040347
15,1146384.1767779286
16,1146904.403367965
17,1143663.7628996843
18,1145063.063100854
19,1145797.735080791
20,1152097.2937172907
21,1155518.2339447476
22,1154515.8867993027
23,1153588.2567059482
24,1154901.5286788335
25,1153340.8305845526
26,1151211.038198552
27,1150420.9594877516
28,1148354.663451727
29,1148727.2414611292
30,1148902.4089909384
31,1149215.7887024519
32,1150597.4154700907
33,1150388.7091254427
34,1151723.0216567426
35,1160791.051787035
36,1166245.17324158
37,1174131.604887575
38,1185902.4537550367
39,1206839.476399763
40,1225124.9505999861
41,1207109.0245925137
42,1211268.3395597003
43,1204065.1785340782
44,1208803.70881948
45,1201695.7261721315
46,1198931.0239820513
47,1198749.2138735591
48,1207031.3893438836
49,1207861.9519362962
50,1211420.221909788
51,1212529.8285895241
52,1207374.769525267
53,1208555.802643564
54,1208613.7403776788
55,1204651.1292625929
56,1202870.8161369152
57,1208055.366072736
58,1204857.1156260923
59,1209529.3179518236
60,1219081.5897192606
61,1219280.267946235
62,1231588.4523072313
