tic,type,quantity,price,high,low,day
002001,sell,100,20.198886624388393,20.68,19.15,2024-08-05
601336,buy,100,38.689235066910136,39.01507155,38.03510115,2024-08-05
601628,buy,100,31.25209935285151,31.84,30.61,2024-08-05
601319,buy,100,6.532934247686168,6.46114214,6.34916394,2024-08-05
300442,buy,100,21.163169215470553,20.76,19.74,2024-08-05
601877,buy,100,18.308871283107436,18.51,18.0,2024-08-05
600795,buy,100,5.298656596476212,5.28,5.12,2024-08-05
002905,buy,100,6.334464993188157,6.88,6.3,2024-08-05
000776,buy,100,11.62868192307651,11.85,11.61,2024-08-05
002001,sell,100,20.8634028949216,19.9,19.26,2024-08-06
601336,buy,100,38.78718454963407,38.5863345,36.69989148,2024-08-06
601628,buy,100,31.851255245972425,31.59,29.21,2024-08-06
601319,buy,100,6.444205146211879,6.39395522,6.2147901,2024-08-06
300442,buy,100,21.049592475593087,20.41,19.91,2024-08-06
601877,buy,100,17.97555624781642,18.39,18.11,2024-08-06
600795,buy,100,5.182749604177662,5.24,5.1,2024-08-06
002905,buy,100,6.402331069093198,6.85,6.3,2024-08-06
000776,buy,100,11.4662025215663,11.75,11.48,2024-08-06
002001,sell,100,19.492896025786177,20.55,19.35,2024-08-07
601336,buy,100,37.49587524139709,37.09187964,36.34465221,2024-08-07
601628,buy,100,29.848217882039023,29.43,28.68,2024-08-07
601319,buy,100,6.330392622116255,6.3267683,6.2147901,2024-08-07
300442,buy,100,21.856856406629085,20.38,19.88,2024-08-07
601877,buy,100,18.251303290203214,18.57,18.32,2024-08-07
600795,buy,100,5.217573545286433,5.31,5.19,2024-08-07
002905,buy,100,6.756308349722531,6.74,6.55,2024-08-07
000776,buy,100,11.349233073070646,11.64,11.51,2024-08-07
002001,sell,100,21.188954967558384,22.25,20.56,2024-08-08
601336,buy,100,37.027088363360996,37.03063149,36.43039962,2024-08-08
601628,buy,100,29.07364882064983,28.84,28.29,2024-08-08
601319,buy,100,6.292429103310189,6.3267683,6.23718574,2024-08-08
300442,buy,100,20.818459143675863,20.95,19.86,2024-08-08
601877,buy,100,18.431875017397108,18.49,18.23,2024-08-08
600795,buy,100,5.243155862968415,5.28,5.17,2024-08-08
002905,buy,100,6.7395292927324775,7.28,6.48,2024-08-08
000776,buy,100,11.318567364513873,11.69,11.49,2024-08-08
002001,sell,100,20.02132899519056,21.51,19.98,2024-08-09
601336,buy,100,36.70015112186604,37.05652845,36.3630582,2024-08-09
601628,buy,100,28.969305357383565,28.95,28.47,2024-08-09
601319,buy,100,6.295856307779712,6.35114007,6.25892751,2024-08-09
300442,buy,100,20.38131958579179,20.85,20.09,2024-08-09
601877,buy,100,18.237843844145537,18.52,18.1,2024-08-09
600795,buy,100,5.210584772201256,5.23,5.15,2024-08-09
002905,buy,100,7.021900944150984,6.97,6.71,2024-08-09
000776,buy,100,11.365362912528216,11.64,11.46,2024-08-09
002001,sell,100,21.566297475993633,20.35,19.48,2024-08-12
601336,buy,100,36.53026639720441,36.50175225,35.94697605,2024-08-12
601628,buy,100,28.73014171058312,28.61,28.07,2024-08-12
601319,buy,100,6.2632557190978355,6.29350722,6.21282123,2024-08-12
300442,buy,100,19.54355958206579,20.38,19.84,2024-08-12
601877,buy,100,18.05717500977218,18.42,18.02,2024-08-12
600795,buy,100,5.198991114879027,5.25,5.19,2024-08-12
002905,buy,100,6.972054860070348,6.82,6.46,2024-08-12
000776,buy,100,11.362560965763405,11.46,11.36,2024-08-12
002001,sell,100,19.84108069911599,19.71,19.15,2024-08-13
601336,buy,100,36.235295807704986,36.88000875,36.2117556,2024-08-13
601628,buy,100,28.80683578941971,28.85,28.45,2024-08-13
601319,buy,100,6.238371466066523,6.32808693,6.24740094,2024-08-13
300442,buy,100,20.392820732817054,20.3,19.82,2024-08-13
601877,buy,100,18.01988261193037,18.22,17.92,2024-08-13
600795,buy,100,5.237822644980624,5.25,5.15,2024-08-13
002905,buy,100,6.642204317450523,6.55,6.15,2024-08-13
000776,buy,100,11.346769286692142,11.47,11.31,2024-08-13
601877,sell,100,18.063384165763857,18.3,17.7,2024-08-14
002001,sell,100,19.416990094799548,19.33,18.8,2024-08-14
601336,buy,100,36.68402932312702,37.0943541,36.3882753,2024-08-14
601628,buy,100,28.93719450366683,28.9,28.48,2024-08-14
601319,buy,100,6.274107238992345,6.37419321,6.25892751,2024-08-14
300442,buy,100,21.302607796937227,20.28,19.92,2024-08-14
600795,buy,100,5.227543537926395,5.35,5.16,2024-08-14
002905,buy,100,6.354180110478774,6.52,6.09,2024-08-14
000776,buy,100,11.447601966632066,11.48,11.33,2024-08-14
002001,sell,100,19.478446076158434,19.45,18.81,2024-08-15
601336,buy,100,36.21765539593012,37.35913365,36.22436415,2024-08-15
601628,buy,100,28.664324323507028,29.41,28.37,2024-08-15
601319,buy,100,6.2438441736722075,6.44335263,6.24740094,2024-08-15
300442,buy,100,21.838132502138613,20.65,19.84,2024-08-15
601877,buy,100,17.65185664558783,17.96,17.57,2024-08-15
600795,buy,100,5.326982380917761,5.36,5.25,2024-08-15
002905,buy,100,6.336311300498201,6.53,6.16,2024-08-15
000776,buy,100,11.361600613638293,11.51,11.28,2024-08-15
